income,age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
high,39,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,60,United-States
high,42,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States
high,49,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,United-States
high,47,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States
high,41,Local-gov,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States
high,55,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States
high,39,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States
high,42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States
high,46,Private,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States
high,40,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States
high,32,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,48,United-States
high,41,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States
high,60,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States
high,31,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,70,Taiwan
high,58,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,40,United-States
high,37,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States
high,44,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States
high,55,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States
high,44,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States
high,39,Private,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,India
high,46,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,40,United-States
high,39,Private,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,99,United-States
high,62,Self-emp-inc,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,60,United-States
high,31,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,40,United-States
high,46,Private,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,Philippines
high,46,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States
high,39,Self-emp-inc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,40,United-States
high,39,Private,15,Married-civ-spouse,Sales,Husband,White,Male,0,2415,99,United-States
high,59,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States
high,50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States
high,46,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States
high,53,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,40,United-States
high,50,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,30,United-States
high,41,Self-emp-inc,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,55,United-States
high,36,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,45,United-States
high,38,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,90,United-States
high,54,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States
high,50,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,United-States
high,47,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States
high,47,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States
high,67,Private,13,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,40,United-States
high,67,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,75,United-States
high,72,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,25,United-States
high,46,Self-emp-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,50,United-States
high,78,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States
high,71,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,60,United-States
high,83,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,55,United-States
high,68,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States
not_high,26,Private,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,United-States
high,68,State-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States
high,49,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States
not_high,36,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States
high,70,Self-emp-not-inc,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,12,United-States
not_high,27,Private,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,2377,20,United-States
not_high,35,Local-gov,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,40,United-States
not_high,23,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,2377,40,United-States
high,81,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,26,United-States
high,66,Self-emp-not-inc,16,Married-civ-spouse,Sales,Husband,White,Male,0,2377,25,United-States
high,71,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,45,United-States
high,68,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,2377,55,United-States
not_high,52,Private,9,Married-civ-spouse,Sales,Husband,Black,Male,0,2377,40,United-States
not_high,40,Self-emp-inc,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,50,United-States
not_high,21,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,48,United-States
not_high,35,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,United-States
high,70,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,50,United-States
not_high,61,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States
not_high,65,Self-emp-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,65,United-States
not_high,46,Private,3,Divorced,Craft-repair,Not-in-family,White,Female,0,2339,45,United-States
not_high,26,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,55,United-States
not_high,59,Local-gov,9,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,40,United-States
not_high,61,Private,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2339,40,United-States
not_high,60,State-gov,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,40,United-States
not_high,49,Self-emp-inc,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,2339,50,United-States
not_high,25,Private,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,United-States
not_high,59,Local-gov,9,Separated,Protective-serv,Other-relative,Black,Female,0,2339,40,United-States
not_high,28,State-gov,10,Separated,Exec-managerial,Own-child,White,Male,0,2339,40,United-States
not_high,56,Self-emp-not-inc,14,Divorced,Sales,Unmarried,White,Female,0,2339,60,United-States
not_high,41,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2339,40,United-States
not_high,42,Private,9,Never-married,Adm-clerical,Other-relative,Black,Female,0,2339,40,Trinadad&Tobago
not_high,28,Private,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,40,Canada
not_high,40,Self-emp-not-inc,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,United-States
high,69,Private,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,40,United-States
not_high,66,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States
not_high,69,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States
not_high,55,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,40,United-States
not_high,57,Federal-gov,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States
not_high,20,Self-emp-not-inc,10,Never-married,Farming-fishing,Own-child,White,Male,0,2258,10,United-States
not_high,33,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,84,United-States
not_high,30,Self-emp-not-inc,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,2258,40,South
not_high,40,Private,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines
high,38,Private,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2258,55,United-States
high,46,State-gov,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States
high,29,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States
not_high,57,Federal-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States
high,39,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,2258,42,United-States
high,47,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States
high,26,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States
not_high,27,Self-emp-not-inc,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,50,United-States
high,23,Private,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States
not_high,34,Private,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,50,United-States
not_high,33,Private,8,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,42,United-States
not_high,38,Local-gov,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,60,United-States
high,57,Private,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States
not_high,36,Private,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,70,United-States
high,44,Federal-gov,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States
high,49,State-gov,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States
not_high,44,Self-emp-inc,10,Never-married,Sales,Not-in-family,White,Male,0,2258,60,United-States
high,55,Private,10,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,62,United-States
high,45,Private,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,2258,44,United-States
high,48,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States
high,31,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,45,United-States
high,55,Local-gov,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2246,40,United-States
high,70,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,40,United-States
high,70,Self-emp-not-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,8,United-States
high,73,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,40,United-States
high,72,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,28,United-States
not_high,31,Private,9,Separated,Machine-op-inspct,Unmarried,White,Female,0,2238,40,United-States
not_high,28,Private,6,Widowed,Adm-clerical,Unmarried,White,Female,0,2238,35,United-States
high,23,Self-emp-not-inc,13,Never-married,Adm-clerical,Own-child,White,Male,0,2231,40,United-States
high,49,Local-gov,5,Widowed,Handlers-cleaners,Unmarried,White,Male,0,2231,40,United-States
high,27,Local-gov,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2231,40,United-States
not_high,90,Private,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States
not_high,68,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,United-States
not_high,65,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,59,Canada
not_high,67,Private,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States
not_high,66,Local-gov,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States
not_high,24,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,2205,24,United-States
not_high,44,Self-emp-not-inc,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,35,United-States
not_high,35,Private,10,Never-married,Adm-clerical,Own-child,White,Female,0,2205,40,United-States
not_high,20,Private,12,Never-married,Other-service,Own-child,White,Female,0,2205,18,United-States
not_high,38,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2205,40,United-States
not_high,39,Private,10,Never-married,Other-service,Own-child,Black,Female,0,2205,40,United-States
not_high,32,Private,10,Never-married,Machine-op-inspct,Other-relative,White,Female,0,2205,40,Holand-Netherlands
not_high,42,Private,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2205,40,United-States
high,42,Self-emp-inc,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,2201,60,India
not_high,64,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States
not_high,28,Private,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico
not_high,41,Self-emp-inc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico
not_high,41,Self-emp-not-inc,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States
not_high,58,Self-emp-not-inc,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,18,United-States
not_high,59,State-gov,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2179,40,United-States
not_high,34,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2179,12,United-States
not_high,45,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,45,United-States
not_high,29,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2179,40,United-States
not_high,47,Private,6,Married-civ-spouse,Sales,Husband,White,Male,0,2179,52,United-States
not_high,40,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2179,40,United-States
not_high,47,Self-emp-not-inc,3,Married-civ-spouse,Sales,Husband,White,Male,0,2179,50,Mexico
not_high,41,Self-emp-not-inc,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2179,40,United-States
not_high,34,Private,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,2179,40,United-States
high,65,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2174,10,United-States
high,70,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2174,40,United-States
high,75,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,United-States
high,65,State-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2174,40,United-States
high,65,Federal-gov,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,2174,40,United-States
high,73,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,United-States
not_high,68,Self-emp-not-inc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2149,40,United-States
not_high,74,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,0,2149,20,United-States
not_high,19,Self-emp-not-inc,7,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,2129,55,United-States
not_high,37,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2129,40,United-States
not_high,45,Federal-gov,12,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,2080,40,Philippines
not_high,64,Private,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2057,60,China
not_high,30,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2057,40,United-States
not_high,51,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2057,60,Canada
not_high,35,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2057,40,United-States
not_high,29,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,20,United-States
not_high,34,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,40,United-States
not_high,41,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,60,United-States
not_high,35,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,45,United-States
not_high,26,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States
not_high,54,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,50,United-States
not_high,52,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States
not_high,50,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2051,20,United-States
not_high,31,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States
not_high,38,Federal-gov,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,40,United-States
not_high,30,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States
not_high,34,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2051,40,United-States
not_high,31,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,2051,57,United-States
not_high,52,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2051,38,United-States
not_high,54,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States
not_high,38,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,44,United-States
not_high,39,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2051,40,United-States
not_high,29,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,2051,40,United-States
not_high,45,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States
not_high,34,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,55,United-States
not_high,38,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,Poland
not_high,39,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States
not_high,61,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,20,United-States
not_high,43,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States
not_high,35,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2042,40,United-States
not_high,46,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,2042,50,United-States
not_high,38,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2042,40,United-States
not_high,42,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2042,48,United-States
not_high,34,Private,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,2042,10,United-States
not_high,29,Private,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2042,40,United-States
not_high,32,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2042,30,United-States
not_high,60,Private,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,2042,34,United-States
not_high,49,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States
not_high,53,Local-gov,9,Married-civ-spouse,Other-service,Husband,White,Male,0,2002,45,United-States
not_high,56,Private,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2002,40,United-States
not_high,48,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,40,United-States
not_high,32,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2002,40,Iran
not_high,42,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States
not_high,32,Private,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2002,42,United-States
not_high,28,Local-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,2002,40,England
not_high,26,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States
not_high,59,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2002,50,United-States
not_high,47,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2002,30,United-States
not_high,41,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,60,United-States
not_high,36,Private,9,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,2002,40,United-States
not_high,45,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,2002,55,United-States
not_high,30,Private,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2002,40,United-States
not_high,36,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,40,United-States
not_high,34,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2002,40,United-States
not_high,53,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,40,United-States
not_high,51,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,2002,45,United-States
not_high,47,Self-emp-not-inc,16,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,45,United-States
not_high,30,Private,9,Never-married,Adm-clerical,Unmarried,White,Male,0,2001,42,United-States
not_high,20,Private,9,Never-married,Other-service,Unmarried,White,Male,0,2001,40,United-States
not_high,42,Federal-gov,14,Divorced,Adm-clerical,Not-in-family,White,Male,0,2001,60,United-States
not_high,31,Private,7,Never-married,Craft-repair,Not-in-family,White,Male,0,2001,40,United-States
not_high,33,Private,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,2001,40,United-States
not_high,25,Private,12,Never-married,Tech-support,Not-in-family,White,Female,0,2001,30,United-States
not_high,20,Private,9,Never-married,Other-service,Not-in-family,White,Male,0,2001,40,United-States
not_high,23,Private,9,Never-married,Adm-clerical,Own-child,Black,Male,0,2001,40,United-States
